,Actual,Predicted
22116,3.2173661387631975,3.2042292207479477
11790,3.133375,3.441633263602853
23114,3.0391999999999997,3.216145247220993
19170,2.99125,3.085437949746847
27016,3.6313397856895953,3.7162138503044844
13975,3.4882142857142857,3.3477949425578117
34380,3.622272727272727,3.611933758482337
27281,3.9283559577677227,4.0657938830554485
30808,3.3842424242424243,3.433979442343116
25950,3.486904761904762,3.550363276153803
1464,3.324324324324324,3.651813741773367
32058,3.555333333333333,5500202.562092122
14265,3.5091666666666668,3.466697294265032
9652,3.7958064516129033,3.6876873932778835
14355,3.0829166666666663,3.5599762443453074
34823,3.4607142857142854,-940148.9232262075
31895,3.5154545454545456,3.283633241429925
32528,3.186363636363637,2.8045132737606764
4393,3.001586879432624,3.013912236317992
13435,3.0060137457044673,3.011297507211566
20345,3.765740740740741,3.3579592555761337
20188,3.5605862977602114,3.491379775106907
19230,3.9565217391304346,3.9170614816248417
13122,3.342793522267207,3.2795685082674026
16995,3.7985714285714285,3.770181603729725
11856,3.5704166666666666,3.5765790566802025
4937,2.9404545454545454,2.9527809266000986
25671,3.360215053763441,3.400090277194977
28542,3.1037931034482757,3.057942409068346
26697,3.158524590163934,3.3405685983598232
803,2.7964179104477616,2.6990936063230038
34772,3.7817852437417656,12512679.89778638
13025,3.667142857142857,3.641648257151246
35630,3.5795588235294122,-28960281.39406654
127,3.3917391304347824,2.959764938801527
22978,3.6823161393908355,3.5934771467000246
24904,3.8740540540540542,3.5651535354554653
29536,3.425,3.619736358523369
5760,3.5719047619047615,3.613315101712942
34332,3.7696153846153844,3.6918626725673676
11009,3.4502762430939224,3.5535116009414196
16878,3.8178431372549015,3.811946790665388
20797,2.978723404255319,2.9861021488904953
27849,3.191759259259259,3.3684795163571835
2725,3.5190340556975754,3.413315860554576
34350,2.6163636363636367,2.8095213565975428
36936,3.4235294117647066,-940148.7090670113
7892,3.692962962962963,-381964662.3514449
18069,3.4789743589743582,3.5261108241975307
17366,2.762296918767507,2.638105858117342
11969,3.603095238095238,3.6614036560058594
5182,3.166363636363636,3.178689233958721
20670,2.903493975903614,3.295119220390916
8683,2.904406779661017,3.2987360022962093
21163,3.61125,3.328935720026493
13373,3.111333333333334,2.8104172125458717
28220,2.9407142857142854,2.949699917808175
4344,3.2497413793103447,3.2620651088654995
1211,3.437323943661972,-216911069.09009078
20142,3.676056338028169,3.716915473341942
7888,3.5724999999999993,3.512151587754488
2386,3.582072072072072,3.6363244857639074
34922,3.71362962962963,3.9331324473023415
32781,3.200448099002447,3.421345319598913
23365,2.8813793103448275,2.7800526954233646
983,3.779523809523809,470172402.6848807
29109,3.801251803751804,3.595545945689082
12964,3.667777777777778,3.759263951331377
19211,2.3036363636363637,2.7890910655260086
27038,3.7390357142857136,3.5605996660888195
9316,2.7707264957264957,2.6956303901970387
24448,3.2636609195402295,3.354017797857523
10047,3.162394607843137,3.1291056908667088
38379,3.2584905660377355,3.100733559578657
1328,3.1724137931034484,3.1014186944812536
26673,2.993878787878788,3.173282541334629
12409,3.3756250000000003,3.3854713141918182
28229,3.227021276595745,3.3117378931492567
29304,2.7479310344827583,2.928468419238925
2723,3.5561904761904763,3.679450925439596
3929,2.9734848484848486,3.136211045086384
4754,3.296602564102564,3.0009105671197176
7820,2.755684647302905,2.6904558204114437
38072,3.8212500000000005,3.5487404093146324
31678,3.38,3.1885400898754597
17763,3.594318181818182,3.860223753377795
23587,3.3891666666666667,3.735381420701742
16733,3.3248780487804876,3.4795190300792456
31726,3.875,3.891849812120199
19931,3.721290322580645,3.5915288105607033
1723,3.29025641025641,3.613498952239752
11942,3.1762857142857146,3.286005463451147
24229,3.6534000000000004,3.410078763961792
16591,3.536521739130435,3.632226251065731
36930,2.487692307692308,4.240563750267029
19742,3.2058823529411766,3.4020724147558212
19877,3.9167857142857145,3.7903662733733654
25553,3.250714285714286,3.0005637165158987
16293,3.4658333333333333,3.556638430804014
3320,3.4709090909090907,3.351338692009449
27533,3.2268181818181816,3.196399562060833
26395,3.795384615384615,3.233827393501997
9327,3.1738191935250764,3.2570226155221462
25476,2.8913793103448273,3.2899177372455597
22837,3.0558333333333336,3.432130293920636
35380,3.59390625,3.4755578823387623
31618,3.6666666666666665,3.4007386825978756
18150,3.0347368421052625,3.1909040175378323
6276,3.939090909090909,12512679.998542363
17533,2.511173020527859,2.531899645924568
35856,3.2805263157894737,2.9947092570364475
37238,3.126901408450704,3.397177867591381
17846,2.9361538461538457,2.927861750125885
12052,3.7798305084745767,3.8181767724454403
1075,3.6180555555555554,3.5073846206068993
21415,3.0936000000000003,3.121479209512472
26156,3.394090909090909,3.523139502853155
754,3.2927027027027025,2.9159324411302805
1848,3.8668,3.728949388489127
618,3.0196969696969704,2.959169102832675
28950,3.3417073170731713,3.1775025241076946
28383,3.833636363636364,3.7934094201773405
27850,3.9310344827586206,4.067439813166857
26984,3.4444444444444446,3.5277931448072195
18383,3.680192307692308,3.496187411248684
15018,3.63875,3.7189417146146297
5856,3.1669811320754717,3.3089074064046144
28869,3.779472648073564,3.622178465127945
33954,3.5360714285714288,3.842544000595808
33143,3.0482857142857145,2.9354439675807953
28427,3.6875,3.5220554918050766
37980,3.8617073170731704,3.849429439753294
25144,3.3980952380952383,-400516090.59443504
27827,3.0006249999999994,3.4106246680021286
19601,3.078462415617588,3.0894846245646477
22723,3.9583333333333335,3.6705493573099375
14811,3.346923076923077,3.521270789206028
21182,3.5102238805970147,3.287433013319969
37782,3.831919191919192,3.290027415379882
36380,3.640334848484849,3.424413811415434
9567,3.4255172413793105,3.4550379496067762
20015,3.474915254237288,3.6090039499104023
37614,3.5142409271400865,3.865480747073889
37050,2.6247206703910613,2.8574122078716755
32709,3.140849462365592,-381904255.34347075
27591,3.6666666666666665,2.303184185177088
18579,3.6116666666666664,-940148.8763857167
33782,3.667209302325581,3.511441668495536
254,3.6517391304347826,90722870.9249062
10023,3.3322011494252877,3.245704159140587
11960,3.9310344827586206,3.937197919934988
31259,3.39609375,3.3259682562202215
12800,3.2175000000000002,3.7519678249955177
33834,3.0002941176470586,3.176839867606759
23521,3.361666666666667,83798417.6671234
27890,3.585138036809816,3.4302970226854086
6937,3.6422222222222222,3.5906442552804947
31906,3.6025806451612903,3.283981954678893
4819,3.9431707317073172,3.430794194340706
27219,3.4704444444444444,3.6145488675683737
764,3.9336,3.7803803384304047
37225,3.176764705882353,3.175520982593298
32213,3.9523809523809526,3.608317043632269
20390,3.290512820512821,-940148.611661559
25214,3.1131766964968186,3.234899125993252
20245,3.8755,3.8403323851525784
20930,2.964074074074074,3.066622208803892
23963,3.64516129032258,3.5007730573415756
35741,3.444666666666667,3.6453720033168793
13472,3.951463414634147,3.9205535519868135
10868,3.73037037037037,3.735962700098753
5463,3.53493023255814,3.295572627335787
19306,3.467958046855106,3.2578881978988647
15203,2.7333333333333334,2.6897513531148434
37040,3.4511764705882353,3.685494262725115
29438,3.666428571428572,3.6389330960810184
33785,3.1450000000000005,74559959.50981614
14816,3.524285714285714,3.2959350738674402
10986,3.2859677419354836,3.119347006082535
5554,2.5337139849290784,736783452.3173628
3348,3.1021739130434782,3.0763498321175575
218,2.665238095238095,2.99304286763072
9405,2.698095238095238,2.68576929718256
14849,3.4776479302832244,3.6609114333987236
4043,3.2563333333333335,3.5288570504635572
32695,3.5017816091954024,3.308396939188242
7343,3.399714285714286,3.065932236611843
13976,3.2644871794871797,192629597.1037041
34598,3.7239618655923006,3.710424156859517
8461,3.1561979166666667,3.179751221090555
6923,3.3043478260869565,3.341951757669449
7998,3.6102857142857148,3.1672374475747347
6636,3.1128364389233956,2.6189951933920383
3434,3.110630630630631,3.308035772293806
6792,3.7142857142857144,3.598745184019208
7271,3.7652941176470582,-297846840.1492336
