Actual,Predicted
3.22,3.3570123
3.13,3.3473966
3.04,3.3373234
2.99,3.3630986
3.63,3.4083195
3.49,3.4045951
3.62,3.4503784
3.93,3.4888437
3.38,3.4043648
3.49,3.431142
3.32,3.3688893
3.56,3.3977582
3.51,3.392102
3.8,3.4010704
3.08,3.3785987
3.46,3.4306493
3.52,3.3172357
3.19,3.2677183
3.0,3.3379464
3.01,3.2270079
3.77,3.3775494
3.56,3.404031
3.96,3.443652
3.34,3.328337
3.8,3.401662
3.57,3.3886998
2.94,3.2274246
3.36,3.3875742
3.1,3.387736
3.16,3.4031746
2.8,3.2183063
3.78,3.4586146
3.67,3.372771
3.58,3.413581
3.39,3.222697
3.68,3.3964229
3.87,3.4300747
3.42,3.4751573
3.57,3.3737037
3.77,3.4262085
3.45,3.3741045
3.82,3.4094172
2.98,3.320434
3.19,3.3840072
3.52,3.3530295
2.62,3.2623107
3.42,3.304025
3.69,3.312933
3.48,3.3834336
2.76,3.2778163
3.6,3.3595312
3.17,3.2976024
2.9,3.3233426
2.9,3.3251646
3.61,3.3657274
3.11,3.2634857
2.94,3.3620563
3.25,3.3479931
3.44,3.3221157
3.68,3.4180207
3.57,3.3674028
3.58,3.3660169
3.71,3.5336318
3.2,3.4172676
2.88,3.3135726
3.78,3.350834
3.8,3.431
3.67,3.3790543
2.3,3.2335699
3.74,3.3965054
2.77,3.272993
3.26,3.3825476
3.16,3.3105106
3.26,3.36774
3.17,3.3039703
2.99,3.3579485
3.38,3.3408349
3.23,3.3588753
2.75,3.34852
3.56,3.3597744
2.97,3.3297517
3.3,3.309384
2.76,3.2972353
3.82,3.3824391
3.38,3.31608
3.59,3.3991911
3.39,3.4239607
3.32,3.3913562
3.88,3.4070861
3.72,3.3992023
3.29,3.3300703
3.18,3.3062325
3.65,3.406666
3.54,3.3783855
2.49,3.3211505
3.21,3.3849874
3.92,3.4529345
3.25,3.3178413
3.47,3.3878994
3.47,3.3340394
3.23,3.3658416
3.8,3.4170465
3.17,3.3502295
2.89,3.3759246
3.06,3.3919697
3.59,3.4423082
3.67,3.3091257
3.03,3.3506126
3.94,3.332282
2.51,3.0780122
3.28,3.391753
3.13,3.2920527
2.94,3.3107734
3.78,3.4453902
3.62,3.3305025
3.09,3.383897
3.39,3.3612647
3.29,3.2939897
3.87,3.384176
3.02,3.2653546
3.34,3.2813747
3.83,3.4511824
3.93,3.4888818
3.44,3.4112558
3.68,3.4301445
3.64,3.4179814
3.17,3.3318255
3.78,3.3858454
3.54,3.516408
3.05,3.3777368
3.69,3.4509785
3.86,3.437024
3.4,3.4101787
3.0,3.3714015
3.08,3.3332164
3.96,3.4114037
3.35,3.3787997
3.51,3.3312669
3.83,3.3899672
3.64,3.3675845
3.43,3.4205687
3.47,3.3825428
3.51,3.410803
2.62,3.2584655
3.14,3.3839195
3.67,3.4017365
3.61,3.3525493
3.67,3.4533246
3.65,3.3440626
3.33,3.3562288
3.93,3.3597953
3.4,3.2744381
3.22,3.343974
3.0,3.3321652
3.36,3.434247
3.59,3.2938857
3.64,3.3953135
3.6,3.3686688
3.94,3.326376
3.47,3.4476466
3.93,3.3606174
3.18,3.3299139
3.95,3.3926537
3.29,3.3746266
3.11,3.3809667
3.88,3.4549282
2.96,3.2833815
3.65,3.4200144
3.44,3.4994197
3.95,3.4277039
3.73,3.3842013
3.53,3.3254585
3.47,3.3663986
2.73,3.30487
3.45,3.338815
3.67,3.4610755
3.15,3.4178553
3.52,3.4080088
3.29,3.2921588
2.53,3.2435
3.1,3.3119316
2.67,3.2977207
2.7,3.3202856
3.48,3.4126399
3.26,3.3345108
3.5,3.4024234
3.4,3.3484328
3.26,3.3642497
3.72,3.4735434
3.16,3.3866072
3.3,3.3196795
3.61,3.3162668
3.11,3.3013947
3.11,3.3417807
3.71,3.3925817
3.77,3.3794491
3.79,3.4309156
3.34,3.432744
3.96,3.423103
3.22,3.3826647
3.22,3.3356068
3.52,3.3744085
3.51,3.3158083
2.9,3.276696
3.87,3.3452513
3.76,3.4187357
3.77,3.405524
3.45,3.351066
3.7,3.3591094
3.26,3.3052912
3.39,3.4232872
3.43,3.359999
2.76,3.27706
3.07,3.379324
3.34,3.376345
3.89,3.435662
3.6,3.4805202
3.36,3.3563144
3.6,3.3158414
3.79,3.4668202
3.63,3.342553
3.53,3.3616567
3.49,3.3311641
3.88,3.4175377
2.97,3.3342612
3.46,3.4150565
3.11,3.2865055
3.45,3.4404244
1.97,3.3229053
2.87,3.1627026
3.22,3.3080013
3.35,3.3404286
3.33,3.3532283
3.78,3.3609827
3.34,3.26907
2.63,3.2069845
2.93,3.2790148
3.37,3.3686335
3.85,3.3440554
3.18,3.2793543
3.97,3.4359107
3.79,3.3816183
3.86,3.4477339
3.67,3.3431935
3.55,3.3749087
3.81,3.3450904
3.78,3.4286973
3.24,3.3240764
3.74,3.3226984
3.64,3.41179
3.57,3.4475594
3.38,3.322768
2.79,3.362796
3.58,3.4403255
3.12,3.2491813
3.46,3.4108598
3.08,3.2920382
3.28,3.2563703
3.46,3.45201
2.9,3.264232
3.53,3.4465468
2.7,3.2203453
3.34,3.3395088
2.95,3.3273227
3.67,3.3948216
2.67,3.2031612
3.55,3.375388
3.25,3.410686
2.85,3.3297813
3.96,3.4226706
3.02,3.203688
3.49,3.4089055
3.58,3.287173
3.89,3.449773
3.65,3.3511786
3.86,3.4349682
3.94,3.4034567
3.7,3.4164762
3.66,3.3740897
3.44,3.3750138
3.17,3.350357
3.58,3.3486369
3.29,3.3452575
3.65,3.35158
2.96,3.2942486
3.78,3.3954623
3.64,3.3475876
3.24,3.3817327
3.61,3.3914292
3.18,3.2996438
3.46,3.338669
3.47,3.3902686
3.44,3.4009008
3.64,3.4344287
3.3,3.345682
3.37,3.379237
3.75,3.4114347
3.71,3.4490316
3.34,3.3250468
3.43,3.417979
