Actual,Predicted
3.22,3.3378706
3.13,3.3378706
3.04,3.3378706
2.99,3.3378706
3.63,3.3378706
3.49,3.3378706
3.62,3.3378706
3.93,3.3378706
3.38,3.3378706
3.49,3.3378706
3.32,3.3378706
3.56,3.3378706
3.51,3.3378706
3.8,3.3378706
3.08,3.3378706
3.46,3.3378706
3.52,3.3378706
3.19,3.3378706
3.0,3.3378706
3.01,3.3378706
3.77,3.3378706
3.56,3.3378706
3.96,3.3378706
3.34,3.3378706
3.8,3.3378706
3.57,3.3378706
2.94,3.3378706
3.36,3.3378706
3.1,3.3378706
3.16,3.3378706
2.8,3.3378706
3.78,3.3378706
3.67,3.3378706
3.58,3.3378706
3.39,3.3378706
3.68,3.3378706
3.87,3.3378706
3.42,3.3378706
3.57,3.3378706
3.77,3.3378706
3.45,3.3378706
3.82,3.3378706
2.98,3.3378706
3.19,3.3378706
3.52,3.3378706
2.62,3.3378706
3.42,3.3378706
3.69,3.3378706
3.48,3.3378706
2.76,3.3378706
3.6,3.3378706
3.17,3.3378706
2.9,3.3378706
2.9,3.3378706
3.61,3.3378706
3.11,3.3378706
2.94,3.3378706
3.25,3.3378706
3.44,3.3378706
3.68,3.3378706
3.57,3.3378706
3.58,3.3378706
3.71,3.3378706
3.2,3.3378706
2.88,3.3378706
3.78,3.3378706
3.8,3.3378706
3.67,3.3378706
2.3,3.3378706
3.74,3.3378706
2.77,3.3378706
3.26,3.3378706
3.16,3.3378706
3.26,3.3378706
3.17,3.3378706
2.99,3.3378706
3.38,3.3378706
3.23,3.3378706
2.75,3.3378706
3.56,3.3378706
2.97,3.3378706
3.3,3.3378706
2.76,3.3378706
3.82,3.3378706
3.38,3.3378706
3.59,3.3378706
3.39,3.3378706
3.32,3.3378706
3.88,3.3378706
3.72,3.3378706
3.29,3.3378706
3.18,3.3378706
3.65,3.3378706
3.54,3.3378706
2.49,3.3378706
3.21,3.3378706
3.92,3.3378706
3.25,3.3378706
3.47,3.3378706
3.47,3.3378706
3.23,3.3378706
3.8,3.3378706
3.17,3.3378706
2.89,3.3378706
3.06,3.3378706
3.59,3.3378706
3.67,3.3378706
3.03,3.3378706
3.94,3.3378706
2.51,3.3378706
3.28,3.3378706
3.13,3.3378706
2.94,3.3378706
3.78,3.3378706
3.62,3.3378706
3.09,3.3378706
3.39,3.3378706
3.29,3.3378706
3.87,3.3378706
3.02,3.3378706
3.34,3.3378706
3.83,3.3378706
3.93,3.3378706
3.44,3.3378706
3.68,3.3378706
3.64,3.3378706
3.17,3.3378706
3.78,3.3378706
3.54,3.3378706
3.05,3.3378706
3.69,3.3378706
3.86,3.3378706
3.4,3.3378706
3.0,3.3378706
3.08,3.3378706
3.96,3.3378706
3.35,3.3378706
3.51,3.3378706
3.83,3.3378706
3.64,3.3378706
3.43,3.3378706
3.47,3.3378706
3.51,3.3378706
2.62,3.3378706
3.14,3.3378706
3.67,3.3378706
3.61,3.3378706
3.67,3.3378706
3.65,3.3378706
3.33,3.3378706
3.93,3.3378706
3.4,3.3378706
3.22,3.3378706
3.0,3.3378706
3.36,3.3378706
3.59,3.3378706
3.64,3.3378706
3.6,3.3378706
3.94,3.3378706
3.47,3.3378706
3.93,3.3378706
3.18,3.3378706
3.95,3.3378706
3.29,3.3378706
3.11,3.3378706
3.88,3.3378706
2.96,3.3378706
3.65,3.3378706
3.44,3.3378706
3.95,3.3378706
3.73,3.3378706
3.53,3.3378706
3.47,3.3378706
2.73,3.3378706
3.45,3.3378706
3.67,3.3378706
3.15,3.3378706
3.52,3.3378706
3.29,3.3378706
2.53,3.3378706
3.1,3.3378706
2.67,3.3378706
2.7,3.3378706
3.48,3.3378706
3.26,3.3378706
3.5,3.3378706
3.4,3.3378706
3.26,3.3378706
3.72,3.3378706
3.16,3.3378706
3.3,3.3378706
3.61,3.3378706
3.11,3.3378706
3.11,3.3378706
3.71,3.3378706
3.77,3.3378706
3.79,3.3378706
3.34,3.3378706
3.96,3.3378706
3.22,3.3378706
3.22,3.3378706
3.52,3.3378706
3.51,3.3378706
2.9,3.3378706
3.87,3.3378706
3.76,3.3378706
3.77,3.3378706
3.45,3.3378706
3.7,3.3378706
3.26,3.3378706
3.39,3.3378706
