Actual,Predicted
3.22,3.3739004
3.13,3.374844
3.04,3.3655767
2.99,3.3749533
3.63,3.3927531
3.49,3.3851228
3.62,3.4011726
3.93,3.3912559
3.38,3.3881388
3.49,3.3914256
3.32,3.3880548
3.56,3.3936067
3.51,3.3858542
3.8,3.3841767
3.08,3.3818507
3.46,3.4018655
3.52,3.3797317
3.19,3.3727589
3.0,3.3711019
3.01,3.3549657
3.77,3.3813152
3.56,3.3862405
3.96,3.411687
3.34,3.3744187
3.8,3.3904285
3.57,3.382854
2.94,3.3609138
3.36,3.379984
3.1,3.379302
3.16,3.3832855
2.8,3.3563824
3.78,3.404387
3.67,3.3843646
3.58,3.3948936
3.39,3.355805
3.68,3.4002228
3.87,3.3863473
3.42,3.3934655
3.57,3.386541
3.77,3.3857284
3.45,3.386146
3.82,3.390736
2.98,3.3668966
3.19,3.3778825
3.52,3.3823848
2.62,3.3518567
3.42,3.3878384
3.69,3.386909
3.48,3.3804274
2.76,3.3620763
3.6,3.4000597
3.17,3.3704176
2.9,3.3691487
2.9,3.36439
3.61,3.3779902
3.11,3.3621845
2.94,3.3701882
3.25,3.3738294
3.44,3.3769155
3.68,3.3921862
3.57,3.3979025
3.58,3.383019
3.71,3.4116135
3.2,3.3726702
2.88,3.3671803
3.78,3.3831825
3.8,3.376058
3.67,3.387385
2.3,3.3654628
3.74,3.3919215
2.77,3.355702
3.26,3.3778281
3.16,3.3726454
3.26,3.3914495
3.17,3.3711843
2.99,3.3763409
3.38,3.3788342
3.23,3.3711843
2.75,3.3666244
3.56,3.3814192
2.97,3.3670263
3.3,3.3736448
2.76,3.3626022
3.82,3.3970442
3.38,3.3778024
3.59,3.3774805
3.39,3.3912854
3.32,3.3872886
3.88,3.4001212
3.72,3.3865447
3.29,3.3777876
3.18,3.381125
3.65,3.3829947
3.54,3.3854156
2.49,3.387206
3.21,3.38558
3.92,3.4019809
3.25,3.3667784
3.47,3.3832817
3.47,3.3747687
3.23,3.374771
3.8,3.38419
3.17,3.373878
2.89,3.3781567
3.06,3.3799438
3.59,3.388515
3.67,3.3725529
3.03,3.3734446
3.94,3.3651733
2.51,3.3373218
3.28,3.3828297
3.13,3.3825555
2.94,3.3620276
3.78,3.393097
3.62,3.3789034
3.09,3.3777342
3.39,3.3707962
3.29,3.3736944
3.87,3.389565
3.02,3.3640919
3.34,3.371634
3.83,3.3880072
3.93,3.4042091
3.44,3.3939247
3.68,3.391056
3.64,3.3903022
3.17,3.3788753
3.78,3.39742
3.54,3.396988
3.05,3.3732657
3.69,3.3933468
3.86,3.4034543
3.4,3.3844428
3.0,3.371584
3.08,3.372932
3.96,3.3854632
3.35,3.3817267
3.51,3.3720698
3.83,3.4016051
3.64,3.3943996
3.43,3.386962
3.47,3.381575
3.51,3.3966808
2.62,3.3812828
3.14,3.3746257
3.67,3.3821435
3.61,3.3743744
3.67,3.3862858
3.65,3.3755064
3.33,3.37811
3.93,3.3928142
3.4,3.3667965
3.22,3.3780432
3.0,3.3573804
3.36,3.381837
3.59,3.3427725
3.64,3.387344
3.6,3.3889894
3.94,3.3753772
3.47,3.3915539
3.93,3.3856516
3.18,3.38196
3.95,3.3945312
3.29,3.3809204
3.11,3.3780103
3.88,3.3977613
2.96,3.3552375
3.65,3.3839712
3.44,3.4030647
3.95,3.3955007
3.73,3.3852544
3.53,3.3774133
3.47,3.3694386
2.73,3.3641539
3.45,3.3818707
3.67,3.3903923
3.15,3.3801732
3.52,3.3823977
3.29,3.3664598
2.53,3.3614926
3.1,3.3701587
2.67,3.3684187
2.7,3.3654423
3.48,3.3872824
3.26,3.3714204
3.5,3.3793993
3.4,3.37645
3.26,3.3779864
3.72,3.4017582
3.16,3.378244
3.3,3.3689942
3.61,3.3721924
3.11,3.3686953
3.11,3.3782806
3.71,3.389073
3.77,3.3848062
3.79,3.4024134
3.34,3.3865166
3.96,3.4050512
3.22,3.3809052
3.22,3.3748221
3.52,3.3819375
3.51,3.373742
2.9,3.3644414
3.87,3.3809042
3.76,3.3860745
3.77,3.3841257
3.45,3.3776193
3.7,3.3859391
3.26,3.3665776
3.39,3.3856168
3.43,3.3902879
2.76,3.354908
3.07,3.3760366
3.34,3.3875313
3.89,3.3932204
3.6,3.399023
3.36,3.372363
3.6,3.3765512
3.79,3.3980608
3.63,3.3719378
3.53,3.3826418
3.49,3.3800583
3.88,3.3979425
2.97,3.3706627
3.46,3.3831258
3.11,3.361525
3.45,3.386384
1.97,3.3622937
2.87,3.3401623
3.22,3.3724694
3.35,3.376453
3.33,3.3903584
3.78,3.389948
3.34,3.3735638
2.63,3.3618307
2.93,3.362628
3.37,3.3773665
3.85,3.3703427
3.18,3.357483
3.97,3.3891497
3.79,3.3928947
3.86,3.3867269
3.67,3.3748074
3.55,3.3765478
3.81,3.3732886
3.78,3.3933702
3.24,3.365446
3.74,3.36267
3.64,3.3851552
3.57,3.3920994
3.38,3.3676229
2.79,3.3783226
3.58,3.3977566
3.12,3.3714452
3.46,3.394579
3.08,3.367782
3.28,3.3654518
3.46,3.3951583
2.9,3.348237
