Actual,Predicted
3.22,3.2469244
3.13,2.7980201
3.04,3.2694182
2.99,3.1393652
3.63,3.7960386
3.49,3.0044885
3.62,4.1261935
3.93,3.8902862
3.38,3.9392283
3.49,3.7115004
3.32,2.5128374
3.56,4.013585
3.51,2.9735827
3.8,2.7528665
3.08,2.9629526
3.46,4.1850023
3.52,3.9658697
3.19,3.9389722
3.0,2.5898373
3.01,2.8705623
3.77,3.2232792
3.56,3.2395391
3.96,3.1884313
3.34,2.8932047
3.8,3.093642
3.57,2.8160853
2.94,2.5361001
3.36,3.6795156
3.1,3.870721
3.16,3.7302468
2.8,2.371961
3.78,4.203945
3.67,2.9231234
3.58,4.148354
3.39,2.4028952
3.68,3.3069293
3.87,3.4822166
3.42,3.9224784
3.57,2.6639662
3.77,4.0501733
3.45,2.774649
3.82,3.0966256
2.98,3.2227852
3.19,3.8267696
3.52,2.4960022
2.62,3.9882472
3.42,4.133493
3.69,2.649877
3.48,3.113978
2.76,3.0497892
3.6,2.8396854
3.17,2.5726907
2.9,3.1867294
2.9,2.6568491
3.61,3.2547798
3.11,2.853116
2.94,3.8076308
3.25,2.5969567
3.44,2.4331276
3.68,3.2533698
3.57,2.682327
3.58,2.5005205
3.71,4.330325
3.2,4.03166
2.88,3.4021032
3.78,2.450999
3.8,3.889702
3.67,2.929884
2.3,3.0482323
3.74,3.7909255
2.77,2.6264074
3.26,3.4130127
3.16,2.7610033
3.26,4.181767
3.17,2.4189653
2.99,3.7047772
3.38,3.0010886
3.23,3.8081667
2.75,3.8395698
3.56,2.4962509
2.97,2.518573
3.3,2.5810857
2.76,2.6436756
3.82,4.1965494
3.38,3.9624736
3.59,3.1231883
3.39,3.5468593
3.32,3.085397
3.88,4.0268044
3.72,3.2384586
3.29,2.484478
3.18,2.7928197
3.65,3.428888
3.54,3.0782783
2.49,4.1450768
3.21,3.3300405
3.92,3.2799804
3.25,3.6363301
3.47,3.0780017
3.47,2.4785607
3.23,3.816035
3.8,3.7361376
3.17,2.679804
2.89,3.6728945
3.06,3.308195
3.59,4.1576753
3.67,3.907985
3.03,3.092449
3.94,2.6465056
2.51,2.9120693
3.28,4.170087
3.13,4.084554
2.94,3.161106
3.78,2.8923125
3.62,2.438602
3.09,3.2896268
3.39,3.656631
3.29,2.4203491
3.87,2.5193927
3.02,2.3970962
3.34,3.7899165
3.83,3.9048264
3.93,3.9018533
3.44,3.7988222
3.68,3.145701
3.64,2.9888997
3.17,2.6384459
3.78,3.864023
3.54,4.133524
3.05,4.0110984
3.69,3.913129
3.86,4.235205
3.4,3.7218182
3.0,3.8128326
3.08,3.223866
3.96,3.3231125
3.35,2.9628236
3.51,3.2343867
3.83,4.206036
3.64,4.1504045
3.43,2.7635195
3.47,3.2252967
3.51,4.2124605
2.62,4.0637136
3.14,4.0432477
3.67,3.839166
3.61,3.094531
3.67,4.096406
3.65,2.4419386
3.33,2.7843118
3.93,2.8284142
3.4,3.8875725
3.22,2.9039292
3.0,4.0120277
3.36,3.4447153
3.59,3.7426758
3.64,2.6720798
3.6,3.9969661
3.94,2.588459
3.47,3.8967435
3.93,2.4576285
3.18,4.1056676
3.95,4.013388
3.29,3.221718
3.11,3.702315
3.88,3.2740102
2.96,3.1925616
3.65,3.4347234
3.44,4.2473774
3.95,2.9988172
3.73,2.7765076
3.53,2.5915108
3.47,3.1409602
2.73,2.9519637
3.45,4.110689
3.67,3.9131205
3.15,4.0753875
3.52,2.973294
3.29,2.7173665
2.53,2.5827174
3.1,2.4651494
2.67,2.4180007
2.7,2.6569254
3.48,2.9824443
3.26,2.518804
3.5,4.0566964
3.4,2.6413662
3.26,2.980292
3.72,4.1764717
3.16,2.6983783
3.3,2.6204069
3.61,2.727653
3.11,2.6140425
3.11,2.530918
3.71,2.6741471
3.77,2.6637049
3.79,3.928274
3.34,3.9384334
3.96,4.0396967
3.22,3.7074006
3.22,2.6346781
3.52,4.1312466
3.51,2.7364068
2.9,2.5994103
3.87,3.9327233
3.76,3.4781332
3.77,2.7136986
3.45,2.4877546
3.7,2.6583161
3.26,2.9153736
3.39,3.4788826
3.43,2.4649737
2.76,3.1913729
3.07,3.409165
3.34,4.138684
3.89,3.2606797
3.6,4.1915417
3.36,3.3959868
3.6,3.9604352
3.79,2.59156
3.63,3.3908825
3.53,2.916839
3.49,2.4406512
3.88,4.06865
2.97,2.669615
3.46,3.2801027
3.11,2.6058109
3.45,3.9001777
1.97,3.3694308
2.87,2.510727
3.22,2.57881
3.35,2.4830058
3.33,4.1375756
3.78,3.9959905
3.34,3.224075
2.63,2.6207654
2.93,2.4861429
3.37,2.691207
3.85,3.0854728
3.18,3.6373725
3.97,3.8611677
3.79,4.0072646
3.86,4.0547705
3.67,2.6371012
3.55,3.4085422
3.81,2.938727
3.78,4.1553307
3.24,3.3747494
3.74,3.0334165
3.64,2.7173321
3.57,3.4563468
3.38,2.463953
2.79,3.1040237
3.58,4.2274036
3.12,3.1724496
3.46,4.1464324
3.08,2.5669253
3.28,2.5805714
3.46,3.7240798
2.9,3.9757893
3.53,3.4937503
2.7,2.8490157
3.34,2.74935
2.95,2.7004151
3.67,2.6718104
2.67,2.5128672
3.55,2.9589322
3.25,3.917116
2.85,3.6793008
3.96,3.328217
3.02,2.4370446
3.49,3.1387985
3.58,2.8955166
3.89,3.3045762
3.65,3.0473552
3.86,3.2569368
3.94,2.6210163
3.7,2.7971852
3.66,2.77604
3.44,3.1342673
3.17,3.3912437
3.58,2.9049149
3.29,2.9380126
3.65,4.119845
2.96,3.0578635
3.78,2.5282772
3.64,2.4982238
3.24,3.4595969
3.61,3.121396
3.18,2.6530027
3.46,4.0749073
3.47,3.0788493
3.44,3.2448585
3.64,3.3276339
3.3,2.7831376
3.37,3.4482667
3.75,4.0655203
3.71,4.054962
3.34,3.1145618
3.43,4.03451
3.56,2.5961018
3.82,2.891584
3.71,3.4838824
2.94,2.6936116
3.44,4.0865383
3.34,2.7669125
3.6,2.925022
3.54,3.124332
3.68,3.3216827
3.83,3.2601333
3.92,3.0873098
3.59,3.4755585
3.74,3.9228723
3.53,2.6715188
3.26,4.1680636
3.78,3.15692
3.6,4.2080846
3.27,4.128245
3.23,3.6780918
3.63,3.1475391
3.78,3.142789
3.56,4.1001697
3.5,2.5016813
2.8,2.4304366
3.31,3.0966349
3.55,2.5985088
3.23,4.1911693
3.29,2.618039
3.44,4.108623
3.39,4.127923
2.98,3.080525
3.66,2.6866772
3.1,2.9505231
3.57,3.6705482
3.08,4.1260967
3.58,3.1216784
3.04,3.1923225
3.2,2.4134533
3.55,3.2689204
2.95,3.7581494
3.63,3.4603152
3.77,4.109455
3.3,2.4366398
2.67,2.513499
3.55,3.908511
3.7,4.072608
3.01,2.9958317
3.38,3.8346918
3.78,4.211594
3.03,3.1560724
3.57,3.1364691
2.82,2.6835043
3.44,2.577981
3.75,3.7604914
3.08,3.205174
3.48,3.4160604
3.49,4.247206
3.13,3.6827185
2.44,2.5678246
3.51,2.7440648
3.83,2.7927814
3.57,3.5247624
3.97,3.0558832
3.68,4.0599914
3.27,3.6986692
2.86,2.612429
